"Species","Season","Site","City","Long","Lat","Crs","Y","J"
"black_bear","JU21","HT","oaca",-122.125204310399,37.775526734824,4326,0,54
"black_bear","JU21","MA","oaca",-122.196682191804,37.7232191910638,4326,0,13
"black_bear","JU21","MT","oaca",-122.140306141679,37.7922217636344,4326,0,0
"black_bear","JU21","MY","oaca",-122.209320587315,37.7778336851881,4326,0,0
"black_bear","JU21","PER","oaca",-122.199497428839,37.7146758889934,4326,0,19
"black_bear","JU21","WP","oaca",-122.140161391856,37.7537352285561,4326,0,43
"black_bear","JU21","BGP1","sewa",-122.28342,47.66681,4326,0,0
"black_bear","JU21","BRF1","sewa",-122.24035,47.47522,4326,0,0
"black_bear","JU21","DOS1","sewa",-121.96749,47.74577,4326,0,0
"black_bear","JU21","DRP2","sewa",-122.36046,47.64354,4326,0,0
"black_bear","JU21","DSP1","sewa",-122.41942,47.6598,4326,0,0
"black_bear","JU21","DWP1","sewa",-122.32024,47.53195,4326,0,0
"black_bear","JU21","FGL1","sewa",-122.26262,47.48434,4326,0,0
"black_bear","JU21","FRD1","sewa",-122.00792,47.75103,4326,0,0
"black_bear","JU21","HCN1","sewa",-122.30736,47.51622,4326,0,0
"black_bear","JU21","HFW1","sewa",-122.19162,47.70676,4326,0,0
"black_bear","JU21","IRP1","sewa",-122.28101,47.69055,4326,0,0
"black_bear","JU21","JBP1","sewa",-122.203475,47.695583,4326,0,0
"black_bear","JU21","LTP1","sewa",-122.39368,47.65483,4326,0,0
"black_bear","JU21","LWP2","sewa",-122.34483,47.66921,4326,0,0
"black_bear","JU21","MBC1","sewa",-122.08888,47.70461,4326,0,0
"black_bear","JU21","MGP1","sewa",-122.25092,47.68166,4326,0,0
"black_bear","JU21","MPO1","sewa",-122.11071,47.44997,4326,0,0
"black_bear","JU21","MSR1","sewa",-122.3086,47.54984,4326,0,0
"black_bear","JU21","MWP1","sewa",-122.3184906,47.5609279,4326,0,0
"black_bear","JU21","NRP1","sewa",-122.17331,47.68709,4326,0,0
"black_bear","JU21","PGP2","sewa",-122.35852,47.55669,4326,0,0
"black_bear","JU21","PHY1","sewa",-122.3596,47.6708,4326,0,0
"black_bear","JU21","RHF1","sewa",-122.01764,47.7406,4326,0,0
"black_bear","JU21","RVP1","sewa",-122.311193,47.673535,4326,0,0
"black_bear","JU21","RWP1","sewa",-122.043494,47.711603,4326,0,0
"black_bear","JU21","SVP1","sewa",-122.15123,47.70675,4326,0,0
"black_bear","JU21","SWD1","sewa",-122.10428,47.71029,4326,0,0
"black_bear","JU21","TCC1","sewa",-122.17861,47.46189,4326,0,0
"black_bear","JU21","TMF1","sewa",-121.94978,47.42278,4326,0,0
"black_bear","JU21","TMP1","sewa",-122.35082,47.56718,4326,0,0
"black_bear","JU21","TRN1","sewa",-122.04184,47.42001,4326,0,0
"black_bear","JU21","WCP2","sewa",-122.33736,47.52699,4326,0,0
"black_bear","JU21","WDG1","sewa",-122.34569,47.54149,4326,0,0
"black_bear","JU21","B-TP","tawa",-122.5523396,47.25251065,4326,0,0
"black_bear","JU21","G-CBP1","tawa",-122.4268266,47.18831902,4326,0,15
"black_bear","JU21","G-CLP2","tawa",-122.5104948,47.24560424,4326,0,34
"black_bear","JU21","G-FP1","tawa",-122.4800131,47.24660376,4326,0,34
"black_bear","JU21","G-IP","tawa",-122.4630498,47.23565994,4326,0,0
"black_bear","JU21","G-JP","tawa",-122.4897943,47.25735582,4326,0,0
"black_bear","JU21","G-KP","tawa",-122.508394,47.26985488,4326,0,0
"black_bear","JU21","G-OTP","tawa",-122.4768246,47.18791936,4326,0,0
"black_bear","JU21","G-SB","tawa",-122.5299695,47.2982002,4326,0,34
"black_bear","JU21","G-SERA","tawa",-122.4911899,47.20279106,4326,0,34
"black_bear","JU21","G-SP","tawa",-122.4808199,47.21085216,4326,0,0
"black_bear","JU21","G-TNC2","tawa",-122.4903011,47.2403511,4326,0,34
"black_bear","JU21","G-VP","tawa",-122.5200163,47.27989233,4326,0,34
"black_bear","JU21","G-WLP2","tawa",-122.4715401,47.17765031,4326,0,34
"black_bear","JU21","G-WP2","tawa",-122.4584696,47.1983578,4326,0,0
"black_bear","JU21","P-BLP","tawa",-122.2828362,47.16167334,4326,0,36
"black_bear","JU21","P-CCP","tawa",-122.3202249,47.18142814,4326,0,36
"black_bear","JU21","P-CUP","tawa",-122.4713203,47.27292925,4326,0,34
"black_bear","JU21","P-DPV","tawa",-122.5443941,47.31742483,4326,0,32
"black_bear","JU21","P-GP","tawa",-122.4574561,47.26989499,4326,0,0
"black_bear","JU21","P-GW1","tawa",-122.410001,47.24797436,4326,0,0
"black_bear","JU21","P-JCP","tawa",-122.5048876,47.28576687,4326,0,0
"black_bear","JU21","P-LCC","tawa",-122.3943541,47.23295534,4326,0,0
"black_bear","JU21","P-MCP","tawa",-122.4438745,47.25390274,4326,0,0
"black_bear","JU21","P-MKP2","tawa",-122.4247164,47.23509146,4326,0,34
"black_bear","JU21","P-OB","tawa",-122.5304582,47.31322937,4326,0,32
"black_bear","JU21","P-OLT","tawa",-122.2727445,46.91261414,4326,2,35
"black_bear","JU21","P-OV2","tawa",-122.3432769,46.87009737,4326,0,36
"black_bear","JU21","P-PCNA1","tawa",-122.4853272,47.27641239,4326,0,34
"black_bear","JU21","P-PDP","tawa",-122.5183507,47.30607047,4326,0,0
"black_bear","JU21","P-RP","tawa",-122.5122539,47.29722634,4326,0,8
"black_bear","JU21","P-RT","tawa",-122.3100545,47.20341368,4326,0,0
"black_bear","JU21","P-RWSR","tawa",-122.268457,46.92563529,4326,0,36
"black_bear","JU21","P-SCP1","tawa",-122.3966602,47.22197141,4326,0,34
"black_bear","JU21","P-STP","tawa",-122.4917336,47.28534935,4326,0,34
"black_bear","JU21","P-TE1","tawa",-122.2802985,46.92220075,4326,0,15
"black_bear","JU21","P-UCC","tawa",-122.3818244,47.22775932,4326,0,0
"black_bear","JU21","P-UWT","tawa",-122.4401704,47.24287966,4326,0,34
"black_bear","JU21","P-WBC","tawa",-122.3015628,47.17033767,4326,0,28
"black_bear","JU21","P-WP","tawa",-122.4496319,47.26202909,4326,0,0
"black_bear","JU21","P-WWP","tawa",-122.2766559,47.17279268,4326,0,0
"bobcat","JA21","CalT01","mela",-117.916298623539,33.8157207443068,4326,0,0
"bobcat","JA21","CalT02","mela",-117.881084307794,33.805271410707,4326,0,0
"bobcat","JA21","CalT03","mela",-117.903640661799,33.8027264606497,4326,0,0
"bobcat","JA21","ED01","mela",-117.987697016941,33.8047881178395,4326,0,0
"bobcat","JA21","ED03","mela",-117.969445855105,33.8068375271505,4326,0,0
"bobcat","JA21","ED04","mela",-117.951456000186,33.8069498755286,4326,0,0
"bobcat","JA21","ED05","mela",-117.929322823416,33.8073355649165,4326,0,0
"bobcat","JA21","ED06","mela",-117.864989403395,33.8131201236705,4326,0,0
"bobcat","JA21","ED07","mela",-117.852295553493,33.8132061954313,4326,0,0
"bobcat","JA21","ED08","mela",-117.841537487599,33.8132612183215,4326,0,0
"bobcat","JA21","ELMOD","mela",-117.792826996357,33.7987084501634,4326,0,0
"bobcat","JA21","H01-AST1","mela",-118.167327566169,34.1382466417473,4326,0,0
"bobcat","JA21","H01-BEA2","mela",-118.23860919717,34.1884271386656,4326,0,21
"bobcat","JA21","H01-BGC1","mela",-118.171401187258,34.1732878175052,4326,0,0
"bobcat","JA21","H01-CCH1","mela",-118.194734272045,34.1706280130158,4326,0,43
"bobcat","JA21","H01-CFR1","mela",-118.324490041228,34.2747445784115,4326,0,0
"bobcat","JA21","H01-DEB1","mela",-118.199559831064,34.0968205758061,4326,0,55
"bobcat","JA21","H01-DVG","mela",-118.173265789529,34.1857147789063,4326,0,0
"bobcat","JA21","H01-FIR1","mela",-118.215555137566,34.1729485487576,4326,0,15
"bobcat","JA21","H01-FLN1","mela",-118.317683926119,34.2364613272562,4326,0,0
"bobcat","JA21","H01-FRE1","mela",-118.323998859909,34.2507494247889,4326,0,0
"bobcat","JA21","H01-GSC1","mela",-118.213906457413,34.1858604720968,4326,0,0
"bobcat","JA21","H01-HFR1","mela",-118.280285079836,34.2232407858084,4326,0,47
"bobcat","JA21","H01-HIC1","mela",-118.162808638578,34.2057439887667,4326,0,0
"bobcat","JA21","H01-HNP1","mela",-118.174282170132,34.1932801228442,4326,0,38
"bobcat","JA21","H01-LTC1","mela",-118.304325628877,34.2292096502222,4326,0,0
"bobcat","JA21","H01-OCC1","mela",-118.235023714954,34.2015211407264,4326,0,51
"bobcat","JA21","H01-OXY1","mela",-118.209398132198,34.126927657672,4326,0,45
"bobcat","JA21","H01-RHR1","mela",-118.158657132284,34.2180476541662,4326,0,20
"bobcat","JA21","H01-ROS1","mela",-118.168110544748,34.155734124552,4326,0,0
"bobcat","JA21","H01-SPS1","mela",-118.16734266949,34.1243587345724,4326,2,31
"bobcat","JA21","H01-TMC1","mela",-118.181406060234,34.1757169271167,4326,5,55
"bobcat","JA21","H01-WAV1","mela",-118.311086462341,34.2430247992848,4326,4,54
"bobcat","JA21","H01-WTP1","mela",-118.319021820833,34.2212972061554,4326,0,0
"bobcat","JA21","H01-WWD1","mela",-118.258224630545,34.2166156128012,4326,1,30
"bobcat","JA21","IRC01","mela",-117.741002107635,33.7706931019229,4326,0,0
"bobcat","JA21","IRC02","mela",-117.725352442072,33.7679631324207,4326,0,0
"bobcat","JA21","IRC03","mela",-117.70310242313,33.7608586520145,4326,0,0
"bobcat","JA21","IRC04","mela",-117.683025810735,33.7523311501139,4326,0,0
"bobcat","JA21","IRC05","mela",-117.668010332756,33.7457933323806,4326,0,0
"bobcat","JA21","IRC06","mela",-117.65291929031,33.734681392118,4326,0,0
"bobcat","JA21","IRC07","mela",-117.647482937262,33.7194406856853,4326,0,0
"bobcat","JA21","LCW01","mela",-118.103818257156,33.7494209993989,4326,0,0
"bobcat","JA21","LCW02","mela",-118.092815323921,33.7501502018805,4326,0,0
"bobcat","JA21","LWNT01","mela",-118.101598547285,33.8526132877927,4326,0,0
"bobcat","JA21","LWNT02","mela",-118.094765039834,33.8363506519015,4326,0,0
"bobcat","JA21","OAK","mela",-117.800078847996,33.810656727064,4326,0,0
"bobcat","JA21","OCP02","mela",-117.763152792082,33.784486154091,4326,0,0
"bobcat","JA21","OCP03","mela",-117.760563878081,33.77282775396,4326,0,0
"bobcat","JA21","PW01","mela",-117.783430530526,33.7933888902747,4326,0,0
"bobcat","JA21","SA","mela",-117.89618484066,33.8108616802827,4326,0,0
"bobcat","JA21","AB","oaca",-122.23759206133,37.7958657993226,4326,0,45
"bobcat","JA21","BT","oaca",-122.09740635098,37.7419690199507,4326,0,22
"bobcat","JA21","CB","oaca",-122.180357276432,37.8031425300903,4326,0,30
"bobcat","JA21","CR","oaca",-122.14567780309,37.7547667792989,4326,0,27
"bobcat","JA21","DK","oaca",-122.208999467716,37.7429510227403,4326,0,0
"bobcat","JA21","DY","oaca",-122.182986945156,37.786126255935,4326,0,0
"bobcat","JA21","EN","oaca",-122.207928967575,37.7305057750575,4326,0,27
"bobcat","JA21","GT","oaca",-122.118850501284,37.7597967922203,4326,0,19
"bobcat","JA21","H18","oaca",-122.122814313447,37.7423411144696,4326,0,28
"bobcat","JA21","HBT","oaca",-122.108203455865,37.7284415340914,4326,0,22
"bobcat","JA21","HT","oaca",-122.125204310399,37.775526734824,4326,8,31
"bobcat","JA21","MA","oaca",-122.196682191804,37.7232191910638,4326,0,0
"bobcat","JA21","MT","oaca",-122.140306141679,37.7922217636344,4326,3,30
"bobcat","JA21","MY","oaca",-122.209320587315,37.7778336851881,4326,0,12
"bobcat","JA21","PER","oaca",-122.199497428839,37.7146758889934,4326,0,0
"bobcat","JA21","WP","oaca",-122.140161391856,37.7537352285561,4326,2,30
"bobcat","JA21","BGP1","sewa",-122.28342,47.66681,4326,0,0
"bobcat","JA21","BRF1","sewa",-122.24035,47.47522,4326,0,0
"bobcat","JA21","DOS1","sewa",-121.96749,47.74577,4326,0,0
"bobcat","JA21","DRP2","sewa",-122.36046,47.64354,4326,0,0
"bobcat","JA21","DSP1","sewa",-122.41942,47.6598,4326,0,0
"bobcat","JA21","DWP1","sewa",-122.32024,47.53195,4326,0,0
"bobcat","JA21","FGL1","sewa",-122.26262,47.48434,4326,0,0
"bobcat","JA21","FRD1","sewa",-122.00792,47.75103,4326,0,0
"bobcat","JA21","HCN1","sewa",-122.30736,47.51622,4326,0,0
"bobcat","JA21","HFW1","sewa",-122.19162,47.70676,4326,0,0
"bobcat","JA21","IRP1","sewa",-122.28101,47.69055,4326,0,0
"bobcat","JA21","JBP1","sewa",-122.203475,47.695583,4326,0,0
"bobcat","JA21","LTP1","sewa",-122.39368,47.65483,4326,0,0
"bobcat","JA21","LWP2","sewa",-122.34483,47.66921,4326,0,0
"bobcat","JA21","MBC1","sewa",-122.08888,47.70461,4326,0,0
"bobcat","JA21","MGP1","sewa",-122.25092,47.68166,4326,0,0
"bobcat","JA21","MPO1","sewa",-122.11071,47.44997,4326,0,0
"bobcat","JA21","MSR1","sewa",-122.3086,47.54984,4326,0,0
"bobcat","JA21","MWP1","sewa",-122.3184906,47.5609279,4326,0,0
"bobcat","JA21","NRP1","sewa",-122.17331,47.68709,4326,0,0
"bobcat","JA21","PGP2","sewa",-122.35852,47.55669,4326,0,0
"bobcat","JA21","PHY1","sewa",-122.3596,47.6708,4326,0,0
"bobcat","JA21","RHF1","sewa",-122.01764,47.7406,4326,0,0
"bobcat","JA21","RVP1","sewa",-122.311193,47.673535,4326,0,0
"bobcat","JA21","RWP1","sewa",-122.043494,47.711603,4326,0,0
"bobcat","JA21","SVP1","sewa",-122.15123,47.70675,4326,0,0
"bobcat","JA21","SWD1","sewa",-122.10428,47.71029,4326,0,0
"bobcat","JA21","TCC1","sewa",-122.17861,47.46189,4326,0,0
"bobcat","JA21","TMF1","sewa",-121.94978,47.42278,4326,0,0
"bobcat","JA21","TMP1","sewa",-122.35082,47.56718,4326,0,0
"bobcat","JA21","TRN1","sewa",-122.04184,47.42001,4326,0,0
"bobcat","JA21","WCP2","sewa",-122.33736,47.52699,4326,0,0
"bobcat","JA21","WDG1","sewa",-122.34569,47.54149,4326,0,0
"bobcat","JA21","B-TP","tawa",-122.5523396,47.25251065,4326,0,0
"bobcat","JA21","G-CBP1","tawa",-122.4268266,47.18831902,4326,0,0
"bobcat","JA21","G-CLP2","tawa",-122.5104948,47.24560424,4326,0,18
"bobcat","JA21","G-FP1","tawa",-122.4800131,47.24660376,4326,0,0
"bobcat","JA21","G-IP","tawa",-122.4630498,47.23565994,4326,0,38
"bobcat","JA21","G-JP","tawa",-122.4897943,47.25735582,4326,0,37
"bobcat","JA21","G-KP","tawa",-122.508394,47.26985488,4326,0,0
"bobcat","JA21","G-OTP","tawa",-122.4768246,47.18791936,4326,0,0
"bobcat","JA21","G-SB","tawa",-122.5299695,47.2982002,4326,0,0
"bobcat","JA21","G-SERA","tawa",-122.4911899,47.20279106,4326,0,0
"bobcat","JA21","G-SP","tawa",-122.4808199,47.21085216,4326,0,0
"bobcat","JA21","G-TNC2","tawa",-122.4903011,47.2403511,4326,0,38
"bobcat","JA21","G-VP","tawa",-122.5200163,47.27989233,4326,0,0
"bobcat","JA21","G-WLP2","tawa",-122.4715401,47.17765031,4326,0,0
"bobcat","JA21","G-WP2","tawa",-122.4584696,47.1983578,4326,0,0
"bobcat","JA21","P-BLP","tawa",-122.2828362,47.16167334,4326,0,48
"bobcat","JA21","P-CCP","tawa",-122.3202249,47.18142814,4326,0,48
"bobcat","JA21","P-CUP","tawa",-122.4713203,47.27292925,4326,0,38
"bobcat","JA21","P-DPV","tawa",-122.5443941,47.31742483,4326,0,37
"bobcat","JA21","P-GP","tawa",-122.4574561,47.26989499,4326,0,31
"bobcat","JA21","P-GW1","tawa",-122.410001,47.24797436,4326,0,0
"bobcat","JA21","P-JCP","tawa",-122.5048876,47.28576687,4326,0,0
"bobcat","JA21","P-LCC","tawa",-122.3943541,47.23295534,4326,0,0
"bobcat","JA21","P-MCP","tawa",-122.4438745,47.25390274,4326,0,0
"bobcat","JA21","P-MKP2","tawa",-122.4247164,47.23509146,4326,0,38
"bobcat","JA21","P-OB","tawa",-122.5304582,47.31322937,4326,0,38
"bobcat","JA21","P-OLT","tawa",-122.2727445,46.91261414,4326,0,47
"bobcat","JA21","P-OV2","tawa",-122.3432769,46.87009737,4326,0,47
"bobcat","JA21","P-PCNA1","tawa",-122.4853272,47.27641239,4326,0,37
"bobcat","JA21","P-PDP","tawa",-122.5183507,47.30607047,4326,0,0
"bobcat","JA21","P-RP","tawa",-122.5122539,47.29722634,4326,0,0
"bobcat","JA21","P-RT","tawa",-122.3100545,47.20341368,4326,0,0
"bobcat","JA21","P-RWSR","tawa",-122.268457,46.92563529,4326,0,47
"bobcat","JA21","P-SCP1","tawa",-122.3966602,47.22197141,4326,0,34
"bobcat","JA21","P-STP","tawa",-122.4917336,47.28534935,4326,0,37
"bobcat","JA21","P-TE1","tawa",-122.2802985,46.92220075,4326,0,47
"bobcat","JA21","P-UCC","tawa",-122.3818244,47.22775932,4326,0,0
"bobcat","JA21","P-UWT","tawa",-122.4401704,47.24287966,4326,0,37
"bobcat","JA21","P-WBC","tawa",-122.3015628,47.17033767,4326,0,48
"bobcat","JA21","P-WP","tawa",-122.4496319,47.26202909,4326,0,0
"bobcat","JA21","P-WWP","tawa",-122.2766559,47.17279268,4326,0,19
"bobcat","AP21","CalT01","mela",-117.916298623539,33.8157207443068,4326,0,37
"bobcat","AP21","CalT02","mela",-117.881084307794,33.805271410707,4326,0,46
"bobcat","AP21","CalT03","mela",-117.903640661799,33.8027264606497,4326,0,38
"bobcat","AP21","ED01","mela",-117.987697016941,33.8047881178395,4326,0,32
"bobcat","AP21","ED03","mela",-117.969445855105,33.8068375271505,4326,0,0
"bobcat","AP21","ED04","mela",-117.951456000186,33.8069498755286,4326,0,0
"bobcat","AP21","ED05","mela",-117.929322823416,33.8073355649165,4326,0,40
"bobcat","AP21","ED06","mela",-117.864989403395,33.8131201236705,4326,0,39
"bobcat","AP21","ED07","mela",-117.852295553493,33.8132061954313,4326,0,34
"bobcat","AP21","ED08","mela",-117.841537487599,33.8132612183215,4326,0,0
"bobcat","AP21","ELMOD","mela",-117.792826996357,33.7987084501634,4326,0,14
"bobcat","AP21","H01-AST1","mela",-118.167327566169,34.1382466417473,4326,0,0
"bobcat","AP21","H01-BEA2","mela",-118.23860919717,34.1884271386656,4326,0,0
"bobcat","AP21","H01-BGC1","mela",-118.171401187258,34.1732878175052,4326,0,0
"bobcat","AP21","H01-CCH1","mela",-118.194734272045,34.1706280130158,4326,0,0
"bobcat","AP21","H01-CFR1","mela",-118.324490041228,34.2747445784115,4326,0,0
"bobcat","AP21","H01-DEB1","mela",-118.199559831064,34.0968205758061,4326,0,0
"bobcat","AP21","H01-DVG","mela",-118.173265789529,34.1857147789063,4326,0,0
"bobcat","AP21","H01-FIR1","mela",-118.215555137566,34.1729485487576,4326,0,0
"bobcat","AP21","H01-FLN1","mela",-118.317683926119,34.2364613272562,4326,0,0
"bobcat","AP21","H01-FRE1","mela",-118.323998859909,34.2507494247889,4326,0,0
"bobcat","AP21","H01-GSC1","mela",-118.213906457413,34.1858604720968,4326,0,0
"bobcat","AP21","H01-HFR1","mela",-118.280285079836,34.2232407858084,4326,0,0
"bobcat","AP21","H01-HIC1","mela",-118.162808638578,34.2057439887667,4326,0,0
"bobcat","AP21","H01-HNP1","mela",-118.174282170132,34.1932801228442,4326,0,2
"bobcat","AP21","H01-LTC1","mela",-118.304325628877,34.2292096502222,4326,0,0
"bobcat","AP21","H01-OCC1","mela",-118.235023714954,34.2015211407264,4326,0,0
"bobcat","AP21","H01-OXY1","mela",-118.209398132198,34.126927657672,4326,0,16
"bobcat","AP21","H01-RHR1","mela",-118.158657132284,34.2180476541662,4326,0,0
"bobcat","AP21","H01-ROS1","mela",-118.168110544748,34.155734124552,4326,0,0
"bobcat","AP21","H01-SPS1","mela",-118.16734266949,34.1243587345724,4326,0,0
"bobcat","AP21","H01-TMC1","mela",-118.181406060234,34.1757169271167,4326,0,0
"bobcat","AP21","H01-WAV1","mela",-118.311086462341,34.2430247992848,4326,0,13
"bobcat","AP21","H01-WTP1","mela",-118.319021820833,34.2212972061554,4326,0,0
"bobcat","AP21","H01-WWD1","mela",-118.258224630545,34.2166156128012,4326,0,0
"bobcat","AP21","IRC01","mela",-117.741002107635,33.7706931019229,4326,0,12
"bobcat","AP21","IRC02","mela",-117.725352442072,33.7679631324207,4326,3,19
"bobcat","AP21","IRC03","mela",-117.70310242313,33.7608586520145,4326,2,20
"bobcat","AP21","IRC04","mela",-117.683025810735,33.7523311501139,4326,0,11
"bobcat","AP21","IRC05","mela",-117.668010332756,33.7457933323806,4326,0,25
"bobcat","AP21","IRC06","mela",-117.65291929031,33.734681392118,4326,0,39
"bobcat","AP21","IRC07","mela",-117.647482937262,33.7194406856853,4326,0,39
"bobcat","AP21","LCW01","mela",-118.103818257156,33.7494209993989,4326,0,0
"bobcat","AP21","LCW02","mela",-118.092815323921,33.7501502018805,4326,0,0
"bobcat","AP21","LWNT01","mela",-118.101598547285,33.8526132877927,4326,0,0
"bobcat","AP21","LWNT02","mela",-118.094765039834,33.8363506519015,4326,0,0
"bobcat","AP21","OAK","mela",-117.800078847996,33.810656727064,4326,0,47
"bobcat","AP21","OCP02","mela",-117.763152792082,33.784486154091,4326,0,32
"bobcat","AP21","OCP03","mela",-117.760563878081,33.77282775396,4326,0,39
"bobcat","AP21","PW01","mela",-117.783430530526,33.7933888902747,4326,0,39
"bobcat","AP21","SA","mela",-117.89618484066,33.8108616802827,4326,0,0
"bobcat","AP21","AB","oaca",-122.23759206133,37.7958657993226,4326,0,42
"bobcat","AP21","BT","oaca",-122.09740635098,37.7419690199507,4326,0,21
"bobcat","AP21","CB","oaca",-122.180357276432,37.8031425300903,4326,0,22
"bobcat","AP21","CR","oaca",-122.14567780309,37.7547667792989,4326,0,54
"bobcat","AP21","DK","oaca",-122.208999467716,37.7429510227403,4326,0,30
"bobcat","AP21","DY","oaca",-122.182986945156,37.786126255935,4326,0,24
"bobcat","AP21","EN","oaca",-122.207928967575,37.7305057750575,4326,0,0
"bobcat","AP21","GT","oaca",-122.118850501284,37.7597967922203,4326,0,12
"bobcat","AP21","H18","oaca",-122.122814313447,37.7423411144696,4326,0,28
